time,open,high,low,close,volume,amount,xtim
2016-11-14 15:00:00,26.8,26.8,26.8,26.8,283.0,758440.0,2016-11-14 15:00:00
2016-11-15 09:25:00,26.8,26.8,26.8,26.8,22.0,58960.0,2016-11-15 09:25:00
2016-11-15 09:30:00,26.8,26.8,26.68,26.68,261.0,696546.0,2016-11-15 09:30:00
2016-11-15 09:31:00,26.67,26.71,26.66,26.7,51.0,136038.0,2016-11-15 09:31:00
2016-11-15 09:32:00,26.67,26.75,26.67,26.71,389.0,1038075.0,2016-11-15 09:32:00
2016-11-15 09:33:00,26.71,26.75,26.7,26.71,107.0,285868.0,2016-11-15 09:33:00
2016-11-15 09:34:00,26.71,26.78,26.71,26.72,64.0,170995.0,2016-11-15 09:34:00
2016-11-15 09:35:00,26.78,26.78,26.72,26.73,22.0,58797.0,2016-11-15 09:35:00
2016-11-15 09:36:00,26.78,26.8,26.78,26.8,65.0,174128.0,2016-11-15 09:36:00
2016-11-15 09:37:00,26.8,26.85,26.8,26.84,4.0,10729.0,2016-11-15 09:37:00
2016-11-15 09:38:00,26.84,26.87,26.82,26.87,120.0,322243.0,2016-11-15 09:38:00
2016-11-15 09:39:00,26.85,26.87,26.77,26.77,642.0,1722099.0,2016-11-15 09:39:00
2016-11-15 09:40:00,26.8,26.86,26.8,26.86,75.0,201346.0,2016-11-15 09:40:00
2016-11-15 09:41:00,26.84,26.84,26.84,26.84,27.0,72468.0,2016-11-15 09:41:00
2016-11-15 09:42:00,26.82,26.85,26.82,26.85,29.0,77794.0,2016-11-15 09:42:00
2016-11-15 09:43:00,26.85,26.89,26.85,26.89,249.0,669048.0,2016-11-15 09:43:00
2016-11-15 09:44:00,26.89,26.92,26.89,26.92,110.0,295822.0,2016-11-15 09:44:00
2016-11-15 09:45:00,26.9,26.93,26.9,26.92,403.0,1085193.0,2016-11-15 09:45:00
2016-11-15 09:46:00,26.92,26.94,26.91,26.92,206.0,554568.0,2016-11-15 09:46:00
2016-11-15 09:47:00,26.93,26.93,26.9,26.91,288.0,774906.0,2016-11-15 09:47:00
2016-11-15 09:48:00,26.9,26.91,26.9,26.91,152.0,411035.0,2016-11-15 09:48:00
2016-11-15 09:49:00,26.91,26.91,26.8,26.8,248.0,666720.0,2016-11-15 09:49:00
2016-11-15 09:50:00,26.87,26.87,26.87,26.87,2.0,5374.0,2016-11-15 09:50:00
2016-11-15 09:51:00,26.88,26.88,26.83,26.83,26.0,69857.0,2016-11-15 09:51:00
2016-11-15 09:52:00,26.8,26.8,26.77,26.77,158.0,424625.0,2016-11-15 09:52:00
2016-11-15 09:53:00,26.77,26.8,26.76,26.8,60.0,161976.0,2016-11-15 09:53:00
2016-11-15 09:54:00,26.8,26.8,26.78,26.8,146.0,391180.0,2016-11-15 09:54:00
2016-11-15 09:55:00,26.8,26.8,26.78,26.78,28.0,74986.0,2016-11-15 09:55:00
2016-11-15 09:56:00,26.79,26.79,26.77,26.77,154.0,412464.0,2016-11-15 09:56:00
2016-11-15 09:57:00,26.77,26.78,26.75,26.75,217.0,582643.0,2016-11-15 09:57:00
2016-11-15 09:58:00,26.76,26.78,26.76,26.76,64.0,171284.0,2016-11-15 09:58:00
2016-11-15 09:59:00,26.78,26.78,26.75,26.76,139.0,372003.0,2016-11-15 09:59:00
2016-11-15 10:00:00,26.76,26.78,26.76,26.78,37.0,99028.0,2016-11-15 10:00:00
2016-11-15 10:01:00,26.78,26.79,26.78,26.78,107.0,286839.0,2016-11-15 10:01:00
2016-11-15 10:02:00,26.86,26.86,26.79,26.86,65.0,174555.0,2016-11-15 10:02:00
2016-11-15 10:03:00,26.81,26.86,26.81,26.86,104.0,278914.0,2016-11-15 10:03:00
2016-11-15 10:04:00,26.88,26.89,26.82,26.89,192.0,516112.0,2016-11-15 10:04:00
2016-11-15 10:05:00,26.89,26.9,26.85,26.89,210.0,564800.0,2016-11-15 10:05:00
2016-11-15 10:06:00,26.89,26.9,26.85,26.89,252.0,677809.0,2016-11-15 10:06:00
2016-11-15 10:07:00,26.89,26.89,26.85,26.88,88.0,236517.0,2016-11-15 10:07:00
2016-11-15 10:08:00,26.88,26.92,26.87,26.92,378.0,1016670.0,2016-11-15 10:08:00
2016-11-15 10:09:00,26.92,26.92,26.9,26.9,250.0,672557.0,2016-11-15 10:09:00
2016-11-15 10:10:00,26.91,26.92,26.86,26.86,308.0,828426.0,2016-11-15 10:10:00
2016-11-15 10:11:00,26.86,26.9,26.8,26.8,254.0,681541.0,2016-11-15 10:11:00
2016-11-15 10:12:00,26.8,26.88,26.8,26.88,116.0,310938.0,2016-11-15 10:12:00
2016-11-15 10:13:00,26.82,26.83,26.8,26.8,337.0,903586.0,2016-11-15 10:13:00
2016-11-15 10:14:00,26.88,26.88,26.78,26.8,326.0,873215.0,2016-11-15 10:14:00
2016-11-15 10:15:00,26.8,26.85,26.8,26.8,44.0,117930.0,2016-11-15 10:15:00
2016-11-15 10:16:00,26.8,26.85,26.79,26.79,178.0,479794.0,2016-11-15 10:16:00
2016-11-15 10:17:00,26.8,26.85,26.79,26.85,61.0,164079.0,2016-11-15 10:17:00
2016-11-15 10:18:00,26.8,26.85,26.8,26.82,16.0,42896.0,2016-11-15 10:18:00
2016-11-15 10:19:00,26.82,26.82,26.8,26.8,29.0,77725.0,2016-11-15 10:19:00
2016-11-15 10:20:00,26.82,26.85,26.8,26.81,58.0,155509.0,2016-11-15 10:20:00
2016-11-15 10:21:00,26.84,26.84,26.8,26.82,63.0,168941.0,2016-11-15 10:21:00
2016-11-15 10:22:00,26.84,26.84,26.82,26.84,45.0,120736.0,2016-11-15 10:22:00
2016-11-15 10:23:00,26.82,26.85,26.8,26.85,101.0,270716.0,2016-11-15 10:23:00
2016-11-15 10:24:00,26.85,26.85,26.8,26.8,22.0,59032.0,2016-11-15 10:24:00
2016-11-15 10:25:00,26.8,26.81,26.8,26.81,44.0,117927.0,2016-11-15 10:25:00
2016-11-15 10:26:00,26.84,26.84,26.81,26.83,18.0,48274.0,2016-11-15 10:26:00
2016-11-15 10:27:00,26.84,26.84,26.84,26.84,22.0,59048.0,2016-11-15 10:27:00
2016-11-15 10:28:00,26.84,26.84,26.81,26.81,70.0,187812.0,2016-11-15 10:28:00
2016-11-15 10:29:00,26.81,26.85,26.81,26.81,112.0,300390.0,2016-11-15 10:29:00
2016-11-15 10:30:00,26.81,26.82,26.81,26.81,28.0,76062.0,2016-11-15 10:30:00
2016-11-15 10:31:00,26.81,26.84,26.81,26.84,65.0,174277.0,2016-11-15 10:31:00
2016-11-15 10:32:00,26.81,26.84,26.81,26.84,26.0,69754.0,2016-11-15 10:32:00
2016-11-15 10:33:00,26.8,26.85,26.79,26.8,225.0,603510.0,2016-11-15 10:33:00
2016-11-15 10:34:00,26.81,26.81,26.81,26.81,5.0,13405.0,2016-11-15 10:34:00
2016-11-15 10:35:00,26.84,26.84,26.81,26.82,87.0,233348.0,2016-11-15 10:35:00
2016-11-15 10:36:00,26.82,26.83,26.82,26.83,70.0,187772.0,2016-11-15 10:36:00
2016-11-15 10:37:00,26.83,26.84,26.81,26.81,11.0,29501.0,2016-11-15 10:37:00
2016-11-15 10:38:00,26.85,26.85,26.83,26.85,88.0,236230.0,2016-11-15 10:38:00
2016-11-15 10:39:00,26.85,26.85,26.82,26.82,98.0,263094.0,2016-11-15 10:39:00
2016-11-15 10:40:00,26.85,26.85,26.82,26.82,66.0,177030.0,2016-11-15 10:40:00
2016-11-15 10:41:00,26.82,26.82,26.8,26.8,175.0,469111.0,2016-11-15 10:41:00
2016-11-15 10:42:00,26.82,26.82,26.8,26.81,33.0,88446.0,2016-11-15 10:42:00
2016-11-15 10:43:00,26.81,26.82,26.81,26.82,27.0,72389.0,2016-11-15 10:43:00
2016-11-15 10:44:00,26.83,26.84,26.81,26.81,56.0,150160.0,2016-11-15 10:44:00
2016-11-15 10:45:00,26.81,26.81,26.8,26.8,129.0,345740.0,2016-11-15 10:45:00
2016-11-15 10:46:00,26.81,26.81,26.8,26.81,33.0,88454.0,2016-11-15 10:46:00
2016-11-15 10:47:00,26.82,26.82,26.81,26.81,8.0,21451.0,2016-11-15 10:47:00
2016-11-15 10:48:00,26.82,26.82,26.81,26.81,22.0,58996.0,2016-11-15 10:48:00
2016-11-15 10:49:00,26.82,26.82,26.81,26.82,37.0,99217.0,2016-11-15 10:49:00
2016-11-15 10:50:00,26.82,26.82,26.81,26.81,26.0,69715.0,2016-11-15 10:50:00
2016-11-15 10:51:00,26.84,26.84,26.82,26.82,13.0,34880.0,2016-11-15 10:51:00
2016-11-15 10:52:00,26.84,26.84,26.83,26.83,34.0,91225.0,2016-11-15 10:52:00
2016-11-15 10:53:00,26.84,26.85,26.83,26.85,50.0,134237.0,2016-11-15 10:53:00
2016-11-15 10:54:00,26.85,26.85,26.83,26.84,27.0,72474.0,2016-11-15 10:54:00
2016-11-15 10:55:00,26.86,26.86,26.85,26.86,36.0,96688.0,2016-11-15 10:55:00
2016-11-15 10:56:00,26.86,26.87,26.85,26.85,26.0,69833.0,2016-11-15 10:56:00
2016-11-15 10:57:00,26.85,26.87,26.84,26.87,89.0,239023.0,2016-11-15 10:57:00
2016-11-15 10:58:00,26.87,26.87,26.86,26.87,17.0,45669.0,2016-11-15 10:58:00
2016-11-15 10:59:00,26.86,26.86,26.85,26.85,17.0,45648.0,2016-11-15 10:59:00
2016-11-15 11:00:00,26.86,26.86,26.85,26.85,11.0,29539.0,2016-11-15 11:00:00
2016-11-15 11:01:00,26.87,26.87,26.87,26.87,26.0,69862.0,2016-11-15 11:01:00
2016-11-15 11:02:00,26.87,26.87,26.85,26.86,63.0,169221.0,2016-11-15 11:02:00
2016-11-15 11:03:00,26.87,26.9,26.87,26.9,82.0,220484.0,2016-11-15 11:03:00
2016-11-15 11:04:00,26.9,26.9,26.87,26.87,15.0,40335.0,2016-11-15 11:04:00
2016-11-15 11:05:00,26.89,26.89,26.88,26.88,63.0,169347.0,2016-11-15 11:05:00
2016-11-15 11:06:00,26.9,26.9,26.88,26.88,66.0,177463.0,2016-11-15 11:06:00
2016-11-15 11:07:00,26.88,26.89,26.87,26.87,119.0,319771.0,2016-11-15 11:07:00
2016-11-15 11:08:00,26.86,26.87,26.86,26.87,86.0,231010.0,2016-11-15 11:08:00
2016-11-15 11:09:00,26.88,26.92,26.88,26.92,364.0,979243.0,2016-11-15 11:09:00
2016-11-15 11:10:00,26.9,26.92,26.9,26.91,15.0,40359.0,2016-11-15 11:10:00
2016-11-15 11:11:00,26.91,26.92,26.91,26.92,61.0,164202.0,2016-11-15 11:11:00
2016-11-15 11:12:00,26.92,26.92,26.91,26.92,26.0,69987.0,2016-11-15 11:12:00
2016-11-15 11:13:00,26.93,26.93,26.92,26.93,422.0,1136441.0,2016-11-15 11:13:00
2016-11-15 11:14:00,26.94,26.94,26.92,26.92,64.0,172359.0,2016-11-15 11:14:00
2016-11-15 11:15:00,26.9,26.94,26.85,26.85,621.0,1669811.0,2016-11-15 11:15:00
2016-11-15 11:16:00,26.92,26.92,26.83,26.83,173.0,464441.0,2016-11-15 11:16:00
2016-11-15 11:17:00,26.84,26.84,26.8,26.84,135.0,361936.0,2016-11-15 11:17:00
2016-11-15 11:18:00,26.84,26.86,26.84,26.86,10.0,26850.0,2016-11-15 11:18:00
2016-11-15 11:19:00,26.84,26.91,26.84,26.91,7.0,18795.0,2016-11-15 11:19:00
2016-11-15 11:20:00,26.84,26.87,26.84,26.87,7.0,18794.0,2016-11-15 11:20:00
2016-11-15 11:21:00,26.85,26.91,26.85,26.91,11.0,29551.0,2016-11-15 11:21:00
2016-11-15 11:22:00,26.85,26.91,26.85,26.91,29.0,78009.0,2016-11-15 11:22:00
2016-11-15 11:23:00,26.92,26.92,26.91,26.91,20.0,53824.0,2016-11-15 11:23:00
2016-11-15 11:24:00,26.92,26.92,26.86,26.91,73.0,196405.0,2016-11-15 11:24:00
2016-11-15 11:25:00,26.86,26.88,26.86,26.88,41.0,110130.0,2016-11-15 11:25:00
2016-11-15 11:26:00,26.86,26.88,26.86,26.88,22.0,59126.0,2016-11-15 11:26:00
2016-11-15 11:27:00,26.87,26.87,26.85,26.85,69.0,185277.0,2016-11-15 11:27:00
2016-11-15 11:28:00,26.86,26.87,26.85,26.87,28.0,75184.0,2016-11-15 11:28:00
2016-11-15 11:29:00,26.85,26.85,26.85,26.85,22.0,59070.0,2016-11-15 11:29:00
2016-11-15 11:30:00,26.85,26.85,26.85,26.85,30.0,80550.0,2016-11-15 11:30:00
2016-11-15 13:00:00,26.85,26.85,26.85,26.85,27.0,72495.0,2016-11-15 13:00:00
2016-11-15 13:01:00,26.85,26.85,26.84,26.84,62.0,166465.0,2016-11-15 13:01:00
2016-11-15 13:02:00,26.85,26.85,26.82,26.82,50.0,134191.0,2016-11-15 13:02:00
2016-11-15 13:03:00,26.83,26.83,26.83,26.83,7.0,18781.0,2016-11-15 13:03:00
2016-11-15 13:04:00,26.85,26.85,26.83,26.83,10.0,26840.0,2016-11-15 13:04:00
2016-11-15 13:05:00,26.83,26.85,26.83,26.85,20.0,53690.0,2016-11-15 13:05:00
2016-11-15 13:06:00,26.85,26.85,26.83,26.83,64.0,171727.0,2016-11-15 13:06:00
2016-11-15 13:07:00,26.83,26.85,26.83,26.85,92.0,247004.0,2016-11-15 13:07:00
2016-11-15 13:08:00,26.86,26.86,26.85,26.85,41.0,110120.0,2016-11-15 13:08:00
2016-11-15 13:09:00,26.86,26.86,26.85,26.85,155.0,416181.0,2016-11-15 13:09:00
2016-11-15 13:10:00,26.86,26.86,26.83,26.86,36.0,96638.0,2016-11-15 13:10:00
2016-11-15 13:11:00,26.86,26.86,26.83,26.86,68.0,182486.0,2016-11-15 13:11:00
2016-11-15 13:12:00,26.84,26.85,26.84,26.85,13.0,34898.0,2016-11-15 13:12:00
2016-11-15 13:13:00,26.85,26.85,26.84,26.85,18.0,48315.0,2016-11-15 13:13:00
2016-11-15 13:14:00,26.85,26.85,26.83,26.84,54.0,145120.0,2016-11-15 13:14:00
2016-11-15 13:15:00,26.84,26.85,26.84,26.84,100.0,271109.0,2016-11-15 13:15:00
2016-11-15 13:16:00,26.84,26.84,26.83,26.83,13.0,34885.0,2016-11-15 13:16:00
2016-11-15 13:17:00,26.84,26.84,26.83,26.83,34.0,91236.0,2016-11-15 13:17:00
2016-11-15 13:18:00,26.84,26.86,26.84,26.86,118.0,317807.0,2016-11-15 13:18:00
2016-11-15 13:19:00,26.86,26.86,26.85,26.86,229.0,614989.0,2016-11-15 13:19:00
2016-11-15 13:20:00,26.86,26.92,26.86,26.91,540.0,1453330.0,2016-11-15 13:20:00
2016-11-15 13:21:00,26.92,26.92,26.91,26.92,106.0,285343.0,2016-11-15 13:21:00
2016-11-15 13:22:00,26.91,26.92,26.91,26.91,88.0,236864.0,2016-11-15 13:22:00
2016-11-15 13:23:00,26.92,26.92,26.91,26.92,63.0,169565.0,2016-11-15 13:23:00
2016-11-15 13:24:00,26.91,26.93,26.91,26.92,73.0,196509.0,2016-11-15 13:24:00
2016-11-15 13:25:00,26.92,26.92,26.9,26.9,195.0,524630.0,2016-11-15 13:25:00
2016-11-15 13:26:00,26.91,26.91,26.85,26.86,386.0,1040557.0,2016-11-15 13:26:00
2016-11-15 13:27:00,26.9,26.9,26.86,26.9,97.0,261608.0,2016-11-15 13:27:00
2016-11-15 13:28:00,26.9,26.91,26.9,26.9,412.0,1108308.0,2016-11-15 13:28:00
2016-11-15 13:29:00,26.91,26.91,26.9,26.91,80.0,215274.0,2016-11-15 13:29:00
2016-11-15 13:30:00,26.91,26.91,26.9,26.9,95.0,255586.0,2016-11-15 13:30:00
2016-11-15 13:31:00,26.91,26.91,26.9,26.9,497.0,1338944.0,2016-11-15 13:31:00
2016-11-15 13:32:00,26.9,26.91,26.86,26.91,112.0,301361.0,2016-11-15 13:32:00
2016-11-15 13:33:00,26.91,26.91,26.86,26.89,20.0,53792.0,2016-11-15 13:33:00
2016-11-15 13:34:00,26.9,26.91,26.87,26.91,141.0,379232.0,2016-11-15 13:34:00
2016-11-15 13:35:00,26.91,26.91,26.9,26.91,221.0,594693.0,2016-11-15 13:35:00
2016-11-15 13:36:00,26.91,26.93,26.9,26.93,333.0,896760.0,2016-11-15 13:36:00
2016-11-15 13:37:00,26.93,26.93,26.88,26.88,944.0,2541229.0,2016-11-15 13:37:00
2016-11-15 13:38:00,26.88,26.9,26.87,26.9,551.0,1482818.0,2016-11-15 13:38:00
2016-11-15 13:39:00,26.9,26.92,26.9,26.92,34.0,91472.0,2016-11-15 13:39:00
2016-11-15 13:40:00,26.92,26.92,26.91,26.92,207.0,557158.0,2016-11-15 13:40:00
2016-11-15 13:41:00,26.91,26.92,26.91,26.91,19.0,51131.0,2016-11-15 13:41:00
2016-11-15 13:42:00,26.91,26.91,26.89,26.89,574.0,1546127.0,2016-11-15 13:42:00
2016-11-15 13:43:00,26.89,26.9,26.87,26.9,525.0,1412232.0,2016-11-15 13:43:00
2016-11-15 13:44:00,26.9,26.92,26.9,26.9,131.0,355802.0,2016-11-15 13:44:00
2016-11-15 13:45:00,26.92,26.92,26.9,26.92,217.0,583932.0,2016-11-15 13:45:00
2016-11-15 13:46:00,26.91,26.91,26.87,26.91,88.0,239399.0,2016-11-15 13:46:00
2016-11-15 13:47:00,26.91,26.92,26.91,26.91,35.0,94188.0,2016-11-15 13:47:00
2016-11-15 13:48:00,26.91,26.91,26.9,26.9,56.0,150666.0,2016-11-15 13:48:00
2016-11-15 13:49:00,26.9,26.9,26.89,26.9,19.0,51094.0,2016-11-15 13:49:00
2016-11-15 13:50:00,26.9,26.9,26.89,26.89,70.0,188289.0,2016-11-15 13:50:00
2016-11-15 13:51:00,26.9,26.9,26.89,26.89,35.0,96122.0,2016-11-15 13:51:00
2016-11-15 13:52:00,26.89,26.89,26.87,26.87,171.0,459641.0,2016-11-15 13:52:00
2016-11-15 13:53:00,26.87,26.89,26.87,26.87,63.0,169296.0,2016-11-15 13:53:00
2016-11-15 13:54:00,26.88,26.9,26.87,26.87,67.0,180130.0,2016-11-15 13:54:00
2016-11-15 13:55:00,26.88,26.9,26.87,26.88,375.0,1010768.0,2016-11-15 13:55:00
2016-11-15 13:56:00,26.88,26.9,26.88,26.88,112.0,301558.0,2016-11-15 13:56:00
2016-11-15 13:57:00,26.9,26.91,26.89,26.91,103.0,280565.0,2016-11-15 13:57:00
2016-11-15 13:58:00,26.92,26.92,26.89,26.89,63.0,169506.0,2016-11-15 13:58:00
2016-11-15 13:59:00,26.91,26.91,26.89,26.9,37.0,99539.0,2016-11-15 13:59:00
2016-11-15 14:00:00,26.9,26.9,26.88,26.88,49.0,133637.0,2016-11-15 14:00:00
2016-11-15 14:01:00,26.89,26.89,26.88,26.88,33.0,88729.0,2016-11-15 14:01:00
2016-11-15 14:02:00,26.89,26.89,26.88,26.89,70.0,188179.0,2016-11-15 14:02:00
2016-11-15 14:03:00,26.89,26.91,26.88,26.91,64.0,172939.0,2016-11-15 14:03:00
2016-11-15 14:04:00,26.89,26.92,26.89,26.92,233.0,627152.0,2016-11-15 14:04:00
2016-11-15 14:05:00,26.92,26.93,26.89,26.9,293.0,788375.0,2016-11-15 14:05:00
2016-11-15 14:06:00,26.92,26.93,26.9,26.93,57.0,153460.0,2016-11-15 14:06:00
2016-11-15 14:07:00,26.94,26.95,26.91,26.91,142.0,382282.0,2016-11-15 14:07:00
2016-11-15 14:08:00,26.95,26.95,26.91,26.94,263.0,708548.0,2016-11-15 14:08:00
2016-11-15 14:09:00,26.94,26.96,26.93,26.96,216.0,583163.0,2016-11-15 14:09:00
2016-11-15 14:10:00,26.96,27.0,26.96,27.0,359.0,968970.0,2016-11-15 14:10:00
2016-11-15 14:11:00,27.01,27.02,26.95,26.95,300.0,809949.0,2016-11-15 14:11:00
2016-11-15 14:12:00,26.97,27.0,26.96,27.0,294.0,793563.0,2016-11-15 14:12:00
2016-11-15 14:13:00,27.0,27.0,26.98,27.0,219.0,595338.0,2016-11-15 14:13:00
2016-11-15 14:14:00,27.0,27.02,26.99,27.02,300.0,812887.0,2016-11-15 14:14:00
2016-11-15 14:15:00,27.02,27.02,27.0,27.0,175.0,474086.0,2016-11-15 14:15:00
2016-11-15 14:16:00,27.02,27.02,26.99,27.0,104.0,280835.0,2016-11-15 14:16:00
2016-11-15 14:17:00,27.01,27.06,27.01,27.04,472.0,1278828.0,2016-11-15 14:17:00
2016-11-15 14:18:00,27.06,27.09,27.06,27.09,338.0,919592.0,2016-11-15 14:18:00
2016-11-15 14:19:00,27.09,27.1,27.03,27.03,474.0,1283195.0,2016-11-15 14:19:00
2016-11-15 14:20:00,27.06,27.1,27.04,27.08,188.0,509262.0,2016-11-15 14:20:00
2016-11-15 14:21:00,27.09,27.1,27.02,27.02,240.0,649412.0,2016-11-15 14:21:00
2016-11-15 14:22:00,27.02,27.05,27.02,27.04,39.0,105456.0,2016-11-15 14:22:00
2016-11-15 14:23:00,27.05,27.05,27.05,27.05,32.0,86560.0,2016-11-15 14:23:00
2016-11-15 14:24:00,27.06,27.06,27.03,27.06,279.0,754481.0,2016-11-15 14:24:00
2016-11-15 14:25:00,27.06,27.06,27.05,27.06,85.0,231664.0,2016-11-15 14:25:00
2016-11-15 14:26:00,27.06,27.06,27.03,27.03,169.0,458148.0,2016-11-15 14:26:00
2016-11-15 14:27:00,27.06,27.06,27.06,27.06,196.0,532053.0,2016-11-15 14:27:00
2016-11-15 14:28:00,27.06,27.07,27.06,27.06,44.0,120094.0,2016-11-15 14:28:00
2016-11-15 14:29:00,27.07,27.08,27.03,27.06,84.0,229062.0,2016-11-15 14:29:00
2016-11-15 14:30:00,27.04,27.06,27.03,27.06,155.0,419217.0,2016-11-15 14:30:00
2016-11-15 14:31:00,27.07,27.08,26.99,26.99,427.0,1153372.0,2016-11-15 14:31:00
2016-11-15 14:32:00,26.99,27.05,26.99,27.05,583.0,1574104.0,2016-11-15 14:32:00
2016-11-15 14:33:00,27.06,27.07,27.06,27.06,45.0,121777.0,2016-11-15 14:33:00
2016-11-15 14:34:00,27.01,27.04,27.01,27.04,10.0,27013.0,2016-11-15 14:34:00
2016-11-15 14:35:00,27.05,27.06,27.04,27.04,87.0,235377.0,2016-11-15 14:35:00
2016-11-15 14:36:00,27.04,27.05,27.0,27.05,267.0,721194.0,2016-11-15 14:36:00
2016-11-15 14:37:00,27.05,27.09,27.05,27.09,350.0,947472.0,2016-11-15 14:37:00
2016-11-15 14:38:00,27.08,27.1,27.08,27.1,167.0,452502.0,2016-11-15 14:38:00
2016-11-15 14:39:00,27.09,27.09,27.0,27.0,1005.0,2716060.0,2016-11-15 14:39:00
2016-11-15 14:40:00,27.0,27.1,27.0,27.0,1424.0,3845873.0,2016-11-15 14:40:00
2016-11-15 14:41:00,27.1,27.11,26.99,27.03,1277.0,3449487.0,2016-11-15 14:41:00
2016-11-15 14:42:00,27.03,27.03,26.99,27.0,701.0,1893477.0,2016-11-15 14:42:00
2016-11-15 14:43:00,26.99,27.0,26.99,27.0,300.0,809988.0,2016-11-15 14:43:00
2016-11-15 14:44:00,26.99,26.99,26.98,26.98,169.0,456039.0,2016-11-15 14:44:00
2016-11-15 14:45:00,26.98,27.0,26.98,27.0,66.0,178090.0,2016-11-15 14:45:00
2016-11-15 14:46:00,26.99,27.0,26.98,27.0,56.0,151162.0,2016-11-15 14:46:00
2016-11-15 14:47:00,26.99,27.0,26.99,26.99,235.0,634452.0,2016-11-15 14:47:00
2016-11-15 14:48:00,26.99,27.03,26.99,27.03,194.0,526621.0,2016-11-15 14:48:00
2016-11-15 14:49:00,27.02,27.03,27.0,27.03,194.0,524258.0,2016-11-15 14:49:00
2016-11-15 14:50:00,27.01,27.03,27.0,27.0,39.0,107018.0,2016-11-15 14:50:00
2016-11-15 14:51:00,27.03,27.03,27.0,27.03,299.0,807870.0,2016-11-15 14:51:00
2016-11-15 14:52:00,27.03,27.03,27.0,27.02,153.0,413374.0,2016-11-15 14:52:00
2016-11-15 14:53:00,27.02,27.03,27.0,27.03,283.0,764692.0,2016-11-15 14:53:00
2016-11-15 14:54:00,27.03,27.05,27.02,27.05,226.0,613695.0,2016-11-15 14:54:00
2016-11-15 14:55:00,27.06,27.09,27.06,27.09,190.0,514578.0,2016-11-15 14:55:00
2016-11-15 14:56:00,27.09,27.1,27.08,27.09,549.0,1487656.0,2016-11-15 14:56:00
